ham,spam,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,http://glo.lifestyle.com,glo.lifestyle.com,0,0,-1,0
1,0,www.redcrossnigeria.org,www.redcrossnigeria.org,75325,4803,200,0
1,0,http://whatsapp.com/dl/,whatsapp.com,261534,4199,200,0
0,1,www.mtnonline.com/about-mtn/contact-us,www.mtnonline.com,0,0,-1,0
0,1,http://www.gloworld.com/globackup/,www.gloworld.com,0,0,200,0
0,1,https://goo.gl/pjz9WG,goo.gl,67311,4985,200,1
0,1,www.rccggoshen.org/1440,www.rccggoshen.org,114,0,200,1
1,0,http://t.co/Cr8QRFYhgZ,t.co,3367,295,200,0
1,0,www.digitalmediasummit.com,www.digitalmediasummit.com,114,0,200,1
0,1,http://images.glo.com,images.glo.com,0,0,-1,0
0,1,http://bit.ly/1fJUKeJ,bit.ly,126176,8761,200,1
0,1,https://fb.com/l/1KsWytlMmRucZ9d,fb.com,75838,645,200,0
0,1,http://goo.gl/ZvxWGN,goo.gl,67311,4985,200,1
1,0,www.kclvirtualoffice.com,www.kclvirtualoffice.com,0,0,-1,0
0,1,http://fb.com/l/24rQyAY5juy27xn,fb.com,75837,645,200,0
0,1,https://fb.com/l/2959E9pBadzgup6,fb.com,75841,645,200,0
0,1,http://sfi4.com/13110562.4/free,sfi4.com,36775,5082,200,0
0,1,https://twitter.com/0809ja_support,twitter.com,2598,0,200,1
0,1,www.mtnonline.com/tips,www.mtnonline.com,0,0,-1,0
0,1,http://fb.com/l/1J510vdhBlkg41Y,fb.com,75843,645,200,0
0,1,http://m.mtnnow.com/?c=9,m.mtnnow.com,0,0,-1,0
0,1,http://xcite.glo.com/,xcite.glo.com,0,0,-1,0
1,0,http://bit.ly/N1saY4,bit.ly,126176,8761,200,1
1,0,http://g.co/freezone,g.co,2190,303,200,0
0,1,http://mpjamz.com/?c=9,mpjamz.com,247952,4660,200,0
0,1,http://bit.ly/1l3TfbU,bit.ly,126176,8761,200,1
1,0,https://goo.gl/tld1iT,goo.gl,67311,4985,200,1
1,1,www.pin.bbm.com/7ac6ecc0,www.pin.bbm.com,0,0,-1,0
0,1,http://bit.ly/1lGC1ir,bit.ly,126176,8761,200,1
0,1,http://bit.ly/1mysb97,bit.ly,126176,8761,200,1
0,1,http://supa6.fcnaija.com,supa6.fcnaija.com,0,0,-1,0
0,1,www.jumia.com.ng/samsung-galaxy-s5,www.jumia.com.ng,0,0,200,0
0,1,http://bit.ly/1Mv9Y7B,bit.ly,126176,8761,200,1
0,1,www.mdataplans.com.ng,www.mdataplans.com.ng,0,0,-1,0
1,0,www.Accesspowerltd.com,www.Accesspowerltd.com,0,0,-1,0
0,1,http://bit.ly/1uSa6RW,bit.ly,126176,8761,200,1
1,0,http://bit.ly/MEGA-TV-SALE,bit.ly,126176,8761,200,1
0,1,www.iwfionline.org/soctech-2015-registration-form/08160537933,www.iwfionline.org,163421,3893,200,0
1,0,http://www.mtnonline.com/mtnwap,www.mtnonline.com,0,0,-1,0
1,1,http://bit.ly/GOtvNigeriaPC,bit.ly,126176,8761,200,1
0,1,http://tin.bz/bVjH6,tin.bz,114,0,200,1
0,1,http://games.glo.com,games.glo.com,0,0,-1,0
1,1,http://vtm.mtnonline.com/,vtm.mtnonline.com,0,0,-1,0
0,1,www.upgrade101online.com,www.upgrade101online.com,0,0,-1,0
1,0,www.PromaQ.com.ng,www.PromaQ.com.ng,0,0,-1,0
0,1,http://www.facebook.com/MTNLoaded,www.facebook.com,75841,645,200,0
0,1,https://t.co/flz3ibdZqO/s/1zHt,t.co,3367,295,200,0
1,0,www.whog.com.ng,www.whog.com.ng,0,0,-1,0
0,1,http://backup-globacom-ng.weballynis.gemalto.com,backup-globacom-ng.weballynis.gemalto.com,0,0,-1,0
0,1,http://www.af1234.com/downloads/FlashShare.apk,www.af1234.com,0,0,-1,0
0,1,http://hsi.glo.com/,hsi.glo.com,0,0,-1,0
0,1,www.jumia.com.ng/Q5,www.jumia.com.ng,0,0,200,0
1,0,http://bit.ly/DoD-Jumia,bit.ly,126176,8761,200,1
0,1,http://airtel-mnp.com/4223113H41,airtel-mnp.com,0,0,-1,0
1,0,http://bit.ly/1b2WYiu,bit.ly,126176,8761,200,1
0,1,http://fb.com/l/btkEH8MurM56Vm,fb.com,75842,645,200,0
1,0,www.brightaviationng.com/cpanel,www.brightaviationng.com,0,0,-1,0
1,1,http://bit.ly/GOtvNigeriaPCM,bit.ly,126176,8761,200,1
1,0,http://ibharaluft.site88.net/aoc/cst711/,ibharaluft.site88.net,0,0,-1,0
0,1,https://fb.com/l/1Oz23niDoqYHa06,fb.com,75838,645,200,0
0,1,www.Facebook.com/GOtvNg,www.Facebook.com,75832,645,200,0
0,1,www.kevronconsultingltd.com,www.kevronconsultingltd.com,0,0,200,0
0,1,www.accessbankplc.com,www.accessbankplc.com,500847,19424,200,0
0,1,http://bit.ly/1sv5azj,bit.ly,126176,8761,200,1
0,1,http://g.co/gms/4d4vng8taw6,g.co,2190,303,200,0
1,0,http://bit.ly/Game-of-deals-2,bit.ly,126176,8761,200,1
0,1,http://fb.me/sms,fb.me,75837,645,200,0
0,1,www.facebook.com/airtelgroupy,www.facebook.com,75840,645,200,0
0,1,http://twitter.com/MTNNG,twitter.com,2598,0,200,1
0,1,http://fb.com/l/1OcFnLT369urObo,fb.com,75841,645,200,0
0,1,http://eaz.ng/f3f2?8142384598,eaz.ng,0,0,-1,0
0,1,http://tinyurl.com/nclvy3e,tinyurl.com,13574,0,200,1
0,1,http://bit.ly/UcasoS,bit.ly,126176,8761,200,1
1,0,http://portal.unaab.edu.ng,portal.unaab.edu.ng,21212,2732,200,0
0,1,www.paywithcapture.com/apps,www.paywithcapture.com,277456,132057,200,1
1,0,www.pin.bbm.com/7a51909a,www.pin.bbm.com,0,0,-1,0
1,1,http://nextapps.mtnonline.com/32955,nextapps.mtnonline.com,0,0,-1,0
1,1,http://2go.com.ng,2go.com.ng,129316,878,200,1
0,1,http://u.olx.com/ng722da23b,u.olx.com,0,0,-1,0
0,1,http://bit.ly/1u28SBg,bit.ly,126176,8761,200,1
0,1,www.onetouch.ng,www.onetouch.ng,275396,5066,200,0
0,1,http://t.co/Qpe80nnaJi,t.co,3367,295,200,0
1,0,www.smemarkethub.com/travel-deals,www.smemarkethub.com,1142,0,200,1
0,1,https://fb.com/l/1NjTfumaF0i0P9M,fb.com,75841,645,200,0
0,1,http://cat.mobifun.mobi,cat.mobifun.mobi,0,0,-1,0
0,1,https://t.co/tos/s/7z2Y,t.co,3367,295,200,0
0,1,www.yelloairtime.com,www.yelloairtime.com,0,0,-1,0
0,1,https://mtnnigeria.weballynis.gemalto.com/CloudBackup/,mtnnigeria.weballynis.gemalto.com,0,0,-1,0
0,1,www.scholastica.ng/schemes/cnlawards2013,www.scholastica.ng,68267,2916,200,0
0,1,http://bit.ly/1kCoPIJ,bit.ly,126176,8761,200,1
0,1,https://play.google.com/store/apps/details?id=ng.com,play.google.com,1704789,3194,200,0
1,0,http://66.117.14.246:2082,66.117.14.246.,0,0,-1,0
1,0,www.promaqng.com,www.promaqng.com,0,0,-1,0
0,1,www.iwfionline.org/soctech-2015-registration-form/,www.iwfionline.org,163421,3893,200,0
1,0,www.alientechltd.us,www.alientechltd.us,0,0,-1,0
1,0,www.ogungbile.net/cpanel,www.ogungbile.net,0,0,-1,0
1,0,www.brightaviationng.com,www.brightaviationng.com,0,0,-1,0
0,1,www.bmb.jcifunaab.com,www.bmb.jcifunaab.com,0,0,-1,0
1,0,www.digitalmediasummit.org,www.digitalmediasummit.org,0,0,-1,0
0,1,https://t.co/XjJIUdzSAW/s/M_SL,t.co,3367,295,200,0
0,1,www.mathsvillage.org,www.mathsvillage.org,0,0,-1,0
0,0,http://www.gloworld.com/globackup.,www.gloworld.com,0,0,200,0
0,1,http://bit.ly/1pNjXFM,bit.ly,126176,8761,200,1
1,0,www.ogungbile.net,www.ogungbile.net,0,0,-1,0
0,1,http://www.gloworld.com,www.gloworld.com,0,0,200,0
0,1,https://fb.me/25RlD8Yl1Dw8B9M,fb.me,75845,645,200,0
1,1,https://whatsapp.com/dl/,whatsapp.com,261529,4199,200,0
0,1,http://fb.com/l/1MxiEdvpico4Ptm,fb.com,75842,645,200,0
1,0,http://goo.gl/u1C6G,goo.gl,67311,4985,200,1
0,1,http://g.co/gms/hw2q4gt8d3d,g.co,2190,303,200,0
0,1,https://fb.me/aRZ4jXUBNgri9B,fb.me,75837,645,200,0
0,1,www.gtcrea8.com,www.gtcrea8.com,84869,5662,200,0
0,1,www.bbm.com,www.bbm.com,254311,24217,200,0
1,0,http://www.iasted.org/conferences/format-813.html,www.iasted.org,11141,1537,200,0
1,0,http://tin.bz/6FO0W,tin.bz,468,0,200,1
